Client ID,Profit
43,633.9
257,406.61
477,382.2
754,331.25
825,456.01
1180,651.62
1718,285
2377,730.53
3013,255.54
3244,543.17
3495,456.5
3862,720.45
4216,268.59
4274,496.08
4298,720.98
4764,376.96
4783,146.06
5120,531.39
5190,1048.89
5277,392.59
5426,257.8
5453,676.79
5615,679.8
6460,614.09
6876,1181.86
7417,813.06
7434,178.21
7777,776.64
8066,434.53
8232,787.7
8351,1422.44
8499,560.85
8553,445.5
8807,607.44
8878,956.31
9255,791.18
9620,556.76
9662,342.45
9758,416.55
9760,367.27
9853,410.22
10060,201.84
10232,393.22
10739,1220.84
11492,333.72
11728,349.12
12127,917.02
12689,450.8
12900,524.02
12989,465.55
13359,529.85
13464,465.49
14021,277.7
14030,192.97
14192,989.47
14271,755.63
14553,766.25
14721,307.78
15197,429.96
17140,409.5
17495,342.44
18761,745.06
18896,1024.84
19162,466.73
20040,491.2
20109,332.58
21390,560.07
21725,532.26
21919,509.05
22048,647.75
22209,711.84
22795,501.03
23070,288.76
23280,186.7
23543,492.56
23617,627.82
23676,923.71
24006,443.88
24015,369.28
24671,521.9
25352,390.74
25531,517.55
25737,707.95
26633,425.28
27257,512.63
27265,454.17
27373,515.91
28833,857.36
28917,581.9
29498,739.96
30103,709.69
30374,310.82
30572,787.01
30967,617.07
31244,562.1
32520,859.88
32822,778.37
32858,658.14
33123,905.26
33554,506.35
33601,593.81
34076,434.58
34653,651.25
35737,772.06
36761,233.41
36947,344.52
39154,477.88
39524,509.78
39814,314.03
41599,631.12
41715,431.4
42027,507.83
43024,269.57
43265,618.52
43903,467.99
44220,527.24
44802,351.47
44901,310.44
45299,281.71
45436,459.27
45894,889.18
46012,518.78
46128,922.17
46873,526.91
48675,649.85
49110,1186.54
49235,698.02
49271,750.63
49579,525.4
49975,477.07
50160,504.35
50261,414.37
50806,159.61
50850,593.49
50943,595.76
51067,714.36
51347,859.83
51389,295.14
51968,792.12
52612,162.71
52857,231.14
53680,243.37
53729,481.87
54014,268.02
54046,179.23
54645,1044.66
54777,634.19
55113,619.45
56132,449.86
57331,631.01
57445,424.86
58806,671.94
58858,507.85
59102,561.56
59992,234.16
61218,317.82
61597,616.73
61729,381.77
62069,630.79
62091,895.26
62214,596.85
62253,968.89
62531,463.03
63971,341.43
64564,838.82
66022,170.07
66745,191.21
66975,631.15
67170,825.63
67270,1075.06
67291,343.02
67407,676.54
67555,612.41
67828,1212.23
68737,595.44
69355,281.11
69760,647.48
69786,555.13
69842,506.21
69959,471.84
70488,536.95
70640,313.92
71418,567.64
71623,514.88
71889,426.67
72165,569.74
72430,560.31
72866,508.39
73727,1341.58
74209,598.76
74274,625.39
76088,669.56
76511,594.02
77038,458.99
77857,371.29
78356,602.65
78587,388.03
80456,302.31
80589,402.45
81062,752.24
81435,489.53
81796,952.27
82265,284.73
82724,476.23
83982,1430.24
84135,715.91
84762,310.19
86342,865.64
86637,451.45
86640,498.76
86809,591.81
86832,567.11
87470,198.31
87648,1502.35
88101,769.81
88620,686.41
88911,397.54
89186,430.28
89267,138.85
91874,1187.26
92400,505.85
92437,1000.99
93078,438.99
93431,383.38
94208,1127.37
94231,380.69
95609,457.67
96876,468.73
97503,386.73
97820,539.9
97823,642.27
98176,373.02
99526,584.42
