Client ID,Profit
137,380.37
1809,333.11
1929,438.91
1976,383.21
2057,147.46
3594,518.84
4143,547.97
4283,528.03
4348,658.54
4375,507.86
4603,1129.97
5161,368.29
5689,385.64
5917,1413.33
6098,1870.01
6715,877.74
6969,528.96
7150,930.44
7896,342.02
7964,607.85
8087,698.93
9043,734.15
9488,548.35
9915,754.77
10230,321.57
10356,966.35
10422,583.1
11175,405.15
11361,1261.66
11965,921.44
12267,576.14
12282,637.5
13472,1175.36
13473,484.12
13628,513.89
13683,931.8
14609,825.37
14686,382.65
14740,547.51
15221,721.6
15734,774.5
16574,1210.89
17170,1450.4
18224,632.72
18289,537.71
18318,524.07
18339,763.64
18384,905.43
18531,987.76
18804,757.79
18976,413.24
19155,621.12
19158,958.13
20498,422.65
21008,468.37
21881,166.31
22889,376.32
23110,407.9
23152,388.63
23531,467.31
24141,1302.12
24581,521.64
24693,143.14
25174,563.9
26524,570.17
26655,479.04
26660,727.61
26878,605.07
26911,246.94
27033,620.1
27553,742.74
28513,225.11
28548,410.47
28703,588.37
28756,387.1
29071,271.73
29813,233.92
30331,707.82
30473,440.8
30875,954.6
31259,568.24
32987,706.15
33835,393.69
34803,637.4
34818,255.9
34938,658.1
34963,280.29
35529,758.9
35792,684.32
36025,1174
36175,433.2
36680,580.12
36802,570.76
37247,371.82
37342,109
37447,579.75
37525,398.69
37662,744.14
37959,225.1
38275,408.81
40135,1162.5
40373,473.8
41617,349.64
42171,415.9
42345,659.13
42527,233.81
42566,1027.24
42667,323.41
43173,444.08
43439,1328.3
43640,484.51
43791,294.57
43959,352.4
44687,586.62
45201,437.6
45416,414.9
45807,566.54
45928,1164
46156,940.75
46457,284.27
47678,623.88
47794,362.03
48181,396.45
48311,347.43
48379,486.11
48607,495.08
49982,555.96
51457,325.99
51522,491.45
51748,559.87
52522,571.22
52635,449.96
52790,198.32
53378,558.29
53517,802.09
53599,366.12
53653,428.33
54289,752.8
54290,461
54529,457.16
55902,546.9
56172,909.22
56659,872.29
56827,250.56
56895,621.56
57080,469.42
57266,550.65
57940,908.79
58560,352.91
58562,730.2
59181,1018.96
59875,1036.02
60185,527.72
61228,302.76
61297,507.9
62140,193.91
62266,260.74
63287,716.32
63309,518.62
64154,442.12
64155,395
64171,646.45
64417,811.99
64624,532.58
64671,752.01
64720,527.13
64834,235.98
66212,381.4
66450,304.3
66951,549.63
67350,424.81
67681,1063.85
68364,494.49
69120,553.9
69266,491.59
71023,358.05
71380,508.16
71839,735.66
71988,1014.21
72096,450.05
72445,863.16
72666,704.24
73154,884
73361,72.72
73629,736.72
73667,1044.85
73906,620.04
74443,839.68
74653,572.87
75362,397.54
75499,351.41
76770,242.66
76897,593.19
77427,810.48
77598,612.75
77715,778.88
77874,318.24
78105,547.54
78928,404.58
79022,384.03
79390,419.84
79517,764.77
79927,678.85
80772,503.84
81629,450.08
81894,782.28
82260,364.58
83427,703.21
83804,290.81
84700,765
84742,344.61
84823,385.29
85062,984.62
85282,219.22
85551,991.87
85885,584.84
85954,511.68
86256,546.08
86726,503.58
86736,561.9
86792,510.54
86887,313.59
87120,456.96
87173,1235.05
87643,426.99
87774,625.59
87962,582.07
88755,419.99
88810,444.59
89066,467.68
89252,578.84
89501,291.77
89648,1330.86
91215,552.78
91535,511.84
91966,789.45
92051,549.74
92379,622.27
92966,902.15
93109,292.57
93689,387.59
93904,1151.88
93954,486.68
94055,680.84
94358,294.52
94378,560.31
94801,406.06
95347,423.01
95431,1403.43
95446,684.33
96508,515.55
96587,852.8
96655,515.07
96699,563.42
96737,419.51
96755,808.92
97334,299.17
97350,437.15
97913,803.01
98329,607.68
98950,329.97
99115,867.87
99185,884.26
99250,276.03
99293,530.06
99516,512.55
99744,1093.64
