Customer ID,Purchase Amount,Button Version
901,84.77436879,green
1887,61.05547963,red
328,41.80009587,green
1783,108.5255158,red
2260,109.4549598,red
1071,100.5717646,green
1150,103.233624,green
1986,30.79849755,red
3055,72.7487572,red
2045,86.97379679,red
1255,85.01075499,green
170,71.16746333,green
733,84.8604027,green
2441,62.78818493,red
2893,74.94567274,red
1989,132.8311421,red
1205,81.48238501,green
1638,72.1076612,red
2994,117.8674264,red
2239,114.9491428,red
1401,84.05030955,green
2884,98.85939024,red
1373,80.4841199,green
2992,88.39324982,red
725,122.9294148,green
1718,117.9291343,red
1324,99.72886216,green
2675,76.90032944,red
1854,92.25757185,red
386,123.935753,green
1614,95.36288657,red
2858,101.2672527,red
2032,96.45340172,red
1172,86.40728101,green
1162,94.51891644,green
2334,116.1343363,red
671,103.9155216,green
437,68.40290716,green
782,99.24838291,green
1757,39.9148179,red
1104,85.23783131,green
541,89.39907305,green
1837,126.9049599,red
2918,116.1891433,red
2575,94.65204343,red
2839,60.0656317,red
2997,112.9200052,red
1204,72.52466594,green
178,84.96657133,green
2571,107.5458326,red
1689,81.58896601,red
2369,87.72982376,red
2921,83.31465633,red
2342,99.63889629,red
297,94.98793241,green
1412,50.77179713,green
2557,90.45352608,red
1367,73.08580676,green
2632,75.25036413,red
3022,120.6864396,red
2202,93.74969756,red
873,73.00911827,green
2344,81.22655372,red
2245,83.12011987,red
325,121.8833321,green
1610,77.19585679,green
1072,65.36071459,green
2329,129.1316265,red
428,67.67009942,green
2108,89.44453774,red
2761,134.9214439,red
1790,65.70365241,red
764,90.79269791,green
1836,85.90708926,red
1303,108.0243119,green
2923,114.1082404,red
153,110.4075071,green
290,78.68732311,green
2871,119.6374983,red
863,80.92379507,green
228,96.46830637,green
734,97.14966536,green
1225,92.55543449,green
2943,132.1242822,red
2070,60.39405052,red
1969,103.8794186,red
1767,97.22101362,red
2511,70.35734715,red
1269,87.29627286,green
572,88.91886901,green
378,40.94641378,green
3023,83.09229599,red
2474,92.02492283,red
2293,91.18704639,red
348,71.57209925,green
1203,97.99272189,green
1763,86.43845003,red
1197,107.4738769,green
239,108.301405,green
1232,70.82687771,green
625,99.3343275,green
1741,96.30804295,red
326,87.75876905,green
1213,94.21324965,green
1396,90.60127583,green
279,81.02748125,green
2315,98.07443828,red
406,110.2078266,green
2721,154.5043342,red
2288,98.35420053,red
759,81.52275578,green
3090,64.68773168,red
372,75.29136746,green
1198,101.0700775,green
293,60.23149082,green
2226,100.2800467,red
881,72.2222479,green
351,59.36110152,green
1059,74.36201952,green
1158,86.57566674,green
375,100.4590203,green
3000,85.63222479,red
1465,69.78817263,green
162,59.50678671,green
1484,113.6332863,green
2864,75.74392407,red
1332,54.96748254,green
1834,107.5764817,red
1652,83.70065495,red
722,77.1007484,green
664,110.7689471,green
2909,75.28218603,red
1831,69.4678159,red
973,60.65612096,green
750,87.28412949,green
2433,64.84454043,red
1476,134.730344,green
1081,62.83877515,green
2434,108.2784976,red
409,108.3879195,green
1547,84.16642262,green
1489,113.679268,green
1466,73.61160955,green
2601,98.15376482,red
561,51.6828432,green
2105,98.86936591,red
3011,90.2173143,red
971,96.71588542,green
368,97.50222504,green
1030,78.48073867,green
501,75.56832445,green
1276,87.59342598,green
2049,127.1735051,red
1564,88.33780448,green
641,96.16785257,green
