Customer ID,Purchase Amount,Button Version
139,93.00044048,red
115,88.56553157,green
124,86.3764445,green
150,92.45153419,red
152,86.89443347,red
137,90.59157385,red
145,95.14096692,red
151,92.02994835,red
143,93.94609397,red
116,94.21407232,green
140,93.68117046,red
117,86.6523392,green
134,91.99906981,red
121,87.64249145,green
148,90.56747215,red
147,97.28324528,red
119,90.01812942,green
122,88.95932177,green
118,92.64623681,green
142,89.55989341,red
141,94.52472226,red
127,84.15794263,green
131,91.75771043,green
113,88.4366411,green
114,88.52075585,green
144,89.55579818,red
132,89.74361498,green
120,91.87248847,green
125,82.03796546,green
133,91.47078286,red
128,95.08154919,green
136,91.8254532,red
138,94.14654145,red
130,94.51608391,green
135,94.32793248,red
146,91.3433246,red
149,92.65572632,red
129,95.16147522,green
123,91.00051284,green
126,84.98781339,green
